UnixTime,Exchange
1549899737,3198.43
1549899737,3198.43
1549899736,3198.43
1549899735,3198.43
1549899735,3198.41
1549899734,3198.41
1549899677,3198.17
1549899677,3198.17
1549899676,3198.22
1549899671,3198.35
1549899645,3192.41
1549899635,3198.5
1549899609,3195.66
1549899604,3195.21
1549899603,3193.56
1549899603,3193.56
1549899602,3193.56
1549899594,3189.41
1549899560,3192.09
1549899554,3188.23
1549899524,3191.9
1549899516,3191.65
1549899485,3192.06
1549899470,3187.33
1549899436,3191.85
1549899436,3191.85
1549899429,3191.55
1549899426,3196.71
1549899426,3195.68
1549899426,3193.3
1549899426,3193.3
1549899424,3191.34
1549899418,3190.66
1549899388,3193.3
1549899387,3191.83
1549899387,3191.83
1549899375,3190.41
1549899374,3190.41
1549899369,3191.5
1549899357,3191.08
1549899357,3191.08
1549899355,3190.98
1549899355,3190.98
1549899355,3190.98
1549899354,3190.98
1549899354,3191.1
1549899343,3191.65
1549899341,3191.66
1549899339,3191.66
1549899310,3190.39
1549899270,3192.29
1549899255,3192.77
1549899250,3191.97
1549899234,3190.82
1549899216,3186.78
1549899216,3193.4
1549899216,3188.01
1549899208,3188.01
1549899202,3188.01
1549899200,3187.17
1549899200,3187.17
1549899186,3187.65
1549899174,3188.59
1549899161,3188.05
1549899142,3185.88
1549899142,3186.6
1549899138,3188.97
1549899137,3189.02
1549899136,3189.02
1549899136,3188.93
1549899134,3186.63
1549899130,3188.93
1549899128,3189.02
1549899126,3188.98
1549899123,3183.07
1549899118,3188.98
1549899117,3190.89
1549899116,3183.88
1549899116,3183.86
1549899113,3183.88
1549899112,3183.06
1549899109,3184.66
1549899104,3180.71
1549899104,3181.0
1549899103,3182.28
1549899102,3184.46
1549899102,3184.62
1549899101,3184.65
1549899096,3185.84
1549899092,3192.85
1549899092,3191.31
1549899091,3191.11
1549899091,3189.29
1549899090,3187.68
1549899090,3187.67
1549899090,3185.9
1549899090,3185.9
1549899088,3185.9
1549899088,3185.85
1549899084,3184.63
1549899082,3184.64
1549899079,3185.31
1549899077,3185.3
1549899074,3186.52
1549899072,3186.53
1549899070,3186.53
1549899070,3186.53
1549899064,3188.0
1549899063,3188.01
1549899062,3188.01
1549899061,3188.0
1549899061,3188.01
1549899060,3188.01
1549899059,3188.01
1549899059,3188.01
1549899058,3188.01
1549899058,3188.01
1549899057,3188.01
1549899056,3188.01
1549899048,3188.01
1549899048,3188.01
1549899030,3188.01
1549899027,3188.0
1549899023,3188.0
1549899022,3188.0
1549899012,3188.01
1549899011,3188.01
1549899008,3188.01
1549898990,3188.01
1549898985,3188.01
1549898983,3188.01
1549898982,3188.01
1549898977,3188.01
1549898977,3188.01
1549898959,3190.0
1549898958,3190.0
1549898958,3190.0
1549898958,3190.0
1549898957,3190.0
1549898957,3190.0
1549898956,3190.0
1549898956,3191.35
1549898956,3191.35
1549898954,3191.35
1549898953,3191.35
1549898951,3191.35
1549898950,3191.35
1549898950,3191.36
1549898949,3191.35
1549898949,3191.36
1549898949,3191.35
1549898948,3191.35
1549898946,3191.35
1549898937,3191.36
1549898914,3191.36
1549898911,3191.36
1549898907,3191.36
1549898905,3191.35
1549898903,3191.35
1549898895,3191.36
1549898895,3191.36
1549898871,3191.35
1549898871,3191.36
1549898867,3191.35
1549898862,3191.35
1549898830,3191.36
1549898829,3191.36
1549898813,3191.81
1549898805,3191.33
1549898800,3190.0
1549898797,3191.46
1549898773,3192.0
1549898717,3192.17
1549898717,3192.17
1549898716,3192.17
1549898711,3192.22
1549898695,3192.15
1549898647,3190.67
1549898632,3190.11
1549898630,3190.01
1549898630,3190.01
1549898621,3190.01
1549898621,3190.01
1549898618,3190.01
1549898617,3190.01
1549898580,3190.01
1549898562,3190.01
1549898562,3190.01
1549898561,3190.01
1549898559,3190.55
1549898557,3190.01
1549898555,3195.94
1549898555,3195.1
1549898555,3195.0
1549898555,3195.0
1549898555,3193.89
1549898555,3192.29
1549898553,3190.01
1549898535,3190.01
1549898534,3190.01
1549898515,3190.01
1549898513,3190.0
1549898507,3190.01
1549898503,3190.01
1549898495,3190.01
1549898492,3190.0
1549898492,3190.45
1549898488,3190.46
1549898487,3190.46
1549898485,3190.45
1549898477,3190.46
1549898470,3190.46
1549898469,3190.46
1549898468,3190.46
1549898456,3190.46
1549898456,3190.46
1549898447,3190.46
1549898438,3190.46
1549898430,3190.46
1549898428,3190.46
1549898413,3190.46
1549898411,3190.46
1549898410,3190.45
1549898409,3190.46
1549898407,3190.46
1549898404,3194.08
1549898403,3190.46
1549898403,3190.46
1549898402,3190.46
1549898401,3190.46
1549898396,3190.46
1549898395,3190.46
1549898387,3190.46
1549898385,3194.67
1549898385,3194.66
1549898385,3194.09
1549898385,3192.29
1549898385,3190.69
1549898385,3190.46
1549898385,3190.46
1549898385,3190.46
1549898384,3190.46
1549898382,3190.46
1549898376,3190.46
1549898368,3190.46
1549898368,3190.46
1549898368,3190.46
1549898368,3190.46
1549898367,3190.46
1549898367,3190.46
1549898365,3190.46
1549898359,3190.46
1549898354,3190.46
1549898348,3190.46
1549898347,3190.46
1549898335,3190.46
1549898333,3190.45
1549898332,3190.47
1549898327,3190.48
1549898317,3190.48
1549898310,3190.48
1549898307,3190.48
1549898304,3190.48
1549898296,3190.48
1549898278,3190.48
1549898271,3190.48
1549898257,3190.48
1549898249,3190.48
1549898152,3190.48
1549898115,3190.78
1549898113,3190.53
1549898098,3190.46
1549898096,3190.47
1549898080,3191.29
1549898062,3190.64
1549898058,3190.72
1549898056,3190.52
1549898056,3190.52
1549898054,3190.52
1549898053,3190.6
1549898053,3190.6
1549898053,3190.6
1549898052,3190.6
1549898043,3190.74
1549898021,3190.77
1549898014,3190.4
1549898005,3190.66
1549897991,3197.03
1549897979,3192.19
1549897954,3191.77
1549897935,3191.99
1549897931,3197.06
1549897930,3192.12
1549897928,3190.47
1549897916,3191.85
1549897893,3191.44
1549897874,3193.08
1549897870,3197.04
1549897862,3192.56
1549897843,3192.2
1549897819,3191.71
1549897811,3191.69
1549897805,3195.39
1549897805,3191.44
1549897804,3191.43
1549897803,3191.11
1549897793,3192.0
1549897780,3191.57
1549897766,3195.35
1549897759,3190.0
1549897758,3190.32
1549897758,3190.68
1549897757,3191.42
1549897756,3191.43
1549897755,3191.43
1549897750,3191.43
1549897744,3191.43
1549897733,3191.43
1549897733,3191.43
1549897732,3191.43
1549897732,3191.43
1549897731,3193.88
1549897731,3191.43
1549897730,3191.43
1549897717,3191.43
1549897697,3191.42
1549897697,3191.42
1549897697,3191.42
1549897697,3191.47
1549897695,3193.0
1549897690,3193.01
1549897689,3193.01
1549897654,3193.01
1549897653,3193.01
1549897629,3193.01
1549897605,3193.01
1549897587,3193.01
1549897576,3193.01
1549897576,3193.01
1549897572,3193.01
1549897571,3193.01
1549897569,3193.01
1549897567,3193.01
1549897566,3193.01
1549897547,3193.0
1549897520,3194.93
1549897517,3194.93
1549897504,3194.39
1549897502,3193.98
1549897477,3194.39
1549897473,3194.12
1549897473,3194.12
1549897470,3194.01
1549897470,3194.01
1549897467,3194.62
1549897461,3194.35
1549897460,3194.35
1549897455,3194.75
1549897453,3194.29
1549897437,3192.48
1549897437,3192.48
1549897435,3193.27
1549897430,3194.68
1549897422,3195.69
1549897422,3195.69
1549897421,3195.69
1549897421,3195.69
1549897421,3195.69
1549897420,3195.99
1549897420,3195.53
1549897419,3195.53
1549897419,3195.53
1549897418,3196.12
1549897418,3195.85
1549897417,3195.85
1549897416,3195.85
1549897403,3201.0
1549897403,3200.3
1549897397,3200.39
1549897396,3200.41
1549897396,3200.41
1549897368,3201.29
1549897364,3195.69
1549897364,3195.69
1549897364,3195.71
1549897364,3200.8
1549897346,3200.9
1549897312,3201.7
1549897249,3203.53
1549897238,3205.01
1549897238,3205.01
1549897238,3204.45
1549897238,3204.38
