Year,Type,Activity,Sex ,Injury,Fatal (Y/N),Ages
2016,Unprovoked,Surfing,M,Minor injury to thigh,N,Digital
2016,Unprovoked,Surfing,M,Lacerations to hands,N,Digital
2016,Unprovoked,Surfing,M,Lacerations to lower leg,N,Digital
2016,Unprovoked,Surfing,M,Struck by fin on chest & leg,N,Digital
2016,Unprovoked,Surfing,M,No injury: Knocked off board by shark,N,Digital
2016,Unprovoked,Wading,M,Minor injury to arm,N,Digital
2016,Unprovoked,Swimming,F,Severe lacerations to shoulder & forearm,N,Digital
2016,Unprovoked,Kite surfing,M,FATAL,Y,Digital
2016,Unprovoked,Boogie boarding,F,Lacerations & punctures to lower right leg,N,Digital
2016,Unprovoked,Surfing,M,"No inury, board broken in half by shark",N,Digital
2016,Unprovoked,Body boarding,M,Foot bitten,N,Digital
2016,Unprovoked,Spearfishing,M,Two toes broken & lacerated,N,Digital
2016,Unprovoked,Surfing,M,Lacerations to right foot,N,Digital
2016,Unprovoked,Surfing,M,Minor injury to ankle,N,Digital
2016,Unprovoked,Surfing,M,"Right arm severed, ankle severely bitten ",N,Digital
2016,Unprovoked,Wading,M,Minor injury to ankle,N,Digital
2016,Unprovoked,Snorkeling,M,Lacerations to left leg,N,Digital
2016,Unprovoked,SUP Foil boarding,M,"No inury, shark & board collided",N,Digital
2016,Unprovoked,Surfing,M,Big toe bitten,N,Digital
2016,Unprovoked,Swimming,M,Lacerations to right hand,N,Digital
2016,Unprovoked,Swimming,M,Lacerations to leg,N,Digital
2016,Provoked,Kayaking,M,"No injury, shark nudged kayak repeatedly",N,Digital
2016,Provoked,Lobstering,M,Laceration to left forearm PROVOKED INCIDENT,N,Digital
2016,Unprovoked,Surfing,M,"No injury. Leg rope severed, knocked off board by shark",N,Digital
2016,Unprovoked,Surfing,M,Lacerations to left leg,N,Digital
2016,Unprovoked,Surfing,M,Calf bumped but no injury,N,Digital
2016,Unprovoked,Spearfishing,M,Lacerations to face and right leg,N,Digital
2016,Provoked,Fishing,M,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,Digital
2016,Unprovoked,Surfing,F,Minor injury to leg,N,Digital
2016,Unprovoked,,F,Minor injury to toes,N,Digital
2016,Unprovoked,Swimming,M,Puncture wounds to foot,N,Digital
2016,Unprovoked,Scuba Diving,M,Face bruised when partly blind shark collided with him,N,Digital
2016,Unprovoked,Wading,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Digital
2016,Provoked,Fishing for squid,M,"No injury. Hull bitten, tooth fragment recovered",N,Digital
2016,Provoked,Fishing,M,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,Digital
2016,Provoked,Fishing for sharks,M,"No injury. Hull bitten, tooth fragment recovered",N,Digital
2016,Unprovoked,Swimming,F,"Buttocks, thigh, left hand & wrist injured",N,Digital
2016,Provoked,Fishing,M,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,Digital
2016,Unprovoked,,M,Minor injury,N,Digital
2016,Unprovoked,Surfing,M,Foot injured,N,Digital
2016,Unprovoked,Scuba Diving,M,Severe bite to right hand,N,Digital
2016,Unprovoked,Spearfishing,M,Injuries to left leg & right hand,N,Digital
2016,Unprovoked,Floating,M,Lacerations and punctures to foot,N,Digital
2016,Unprovoked,Wading,M,Injuries to right calf,N,Digital
2016,Unprovoked,Surfing,M,Single puncture wound to arm,N,Digital
2016,Provoked,Spearfishing,M,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,Digital
2016,Unprovoked,Floating in tube,F,Injury to lower leg,N,Digital
2016,Unprovoked,Standing,M,Laceration to wrist,N,Digital
2016,Unprovoked,Swimming,M,Leg bitten,N,Digital
2016,Unprovoked,Diving,F,FATAL,Y,Digital
2016,Unprovoked,Swimming,M,"Leg severely bitten, surgically amputated",N,Digital
2016,Unprovoked,Kite surfing,M,Laceration to heel,N,Digital
2016,Unprovoked,Surfing,M,FATAL,Y,Digital
2016,Unprovoked,Swimming,F,Injuries to arm and shoulder,N,Digital
2016,Unprovoked,Swimming,M,Injury to posterior right leg,N,Digital
2016,Unprovoked,Swimming,F,Puncture wounds to thigh,N,Digital
2016,Unprovoked,Swimming,F,Lacerations and puncture wounds to foot and ankle,N,Digital
2016,Unprovoked,Swimming,F,"Back, arm & hand injured",N,Digital
2016,Unprovoked,Swimming,M,Ankle bitten,N,Digital
2016,Provoked,Teasing a shark,F,Arm grabbed PROVOKED INCIDENT,N,Digital
2016,Unprovoked,Floating,M,Minor lacerations to right shoulder,N,Digital
2016,Provoked,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,Digital
2016,Unprovoked,Surfing,M,Elbow bitten,N,Digital
2016,Unprovoked,Surfing,M,Minor injury to left foot,N,Digital
2016,Unprovoked,Surf-skiing,M,"No injury, surf-ski bitten",N,Digital
2016,Unprovoked,Swimming,M,Minor puncture wound to foot,N,Digital
2016,Provoked,Spearfishing,M,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,Digital
2016,Unprovoked,Spearfishing,M,Multiple bites to right arm,N,Digital
2016,Unprovoked,Walking,F,FATAL,Y,Digital
2016,Unprovoked,Fishing,M,Left hand bitten,N,Digital
2016,Unprovoked,Snorkeling,F,Minor injury to left foot,N,Digital
2016,Unprovoked,Surfing,M,Severe injury to thigh,N,Digital
2016,Unprovoked,,M,Minor injury to arm. Possibly caused by smalll nurse shark,N,Digital
2016,Unprovoked,Surfing,M,"No injury, board dented",N,Digital
2016,Provoked,,M,Minor injury to chest PROVOKED INCIDENT,N,Digital
2016,Unprovoked,Body surfing,M,Lacerations to right foot and ankle,N,Digital
2016,Unprovoked,Diving for beche-de-mer,M,FATAL,Y,Digital
2016,Unprovoked,,M,Superficial injury to foot,N,Digital
2016,Unprovoked,Fishing,M,Puncture wounds to right calf,N,Digital
2016,Unprovoked,Swimming,M,Minor injury to head,N,Digital
2016,Unprovoked,Kite surfing,M,Puncture wounds to right thigh,N,Digital
2016,Unprovoked,Spearfishing,M,Forearm bitten,N,Digital
2016,Unprovoked,Wading,F,Avulsion injury to lower leg,N,Digital
2016,Unprovoked,Walking,F,Foot nipped,N,Digital
2016,Unprovoked,Windsurfing,M,"No injury, shark bit board",N,Digital
2016,Provoked,Kayak fishing,M,"No injury, shark capsized kayak",N,Digital
2016,Unprovoked,Surfing,M,Lacerations to both hands,N,Digital
2016,Unprovoked,Surfing,F,No injury,N,Digital
2016,Unprovoked,Spearfishing,M,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,Digital
2016,Provoked,Fishing,M,"No injury to occupants, shark leapt into boat",N,Digital
2016,Unprovoked,Paddle boarding,M,No injury,N,Digital
2016,Unprovoked,Surfing,M,Laceration to right foot,N,Digital
2016,Unprovoked,Wading,M,Laceration to right calf,N,Digital
2016,Unprovoked,Spearfishing,M,Lacerations to arms & leg,N,Digital
2015,Provoked,Kayak Fishing,M,"No injury, kayak damaged",N,Digital
2015,Unprovoked,Swimming,F,Lacerations to left forearm,N,Digital
2015,Unprovoked,Paddle boarding,M,"No injury, shark bit board",N,Digital
2015,Unprovoked,Surfing,M,"No injury, shark leapt on surfboard",N,Digital
2015,Unprovoked,Scuba diving,M,Right hand & part of forearm removed,N,Digital
2015,Unprovoked,Sea disaster,M,FATAL,Y,Digital
2015,Unprovoked,Lobster fishing,M,"Bitten on thigh, abdomen & hand",N,Digital
2015,Unprovoked,Swimming / Wading,F,Lacerations to both hands and forearms,N,Digital
2015,Unprovoked,Surfing,M,Right heel injured,N,Digital
2015,Unprovoked,Swimming,F,Leg injured,N,Digital
2015,Unprovoked,Surfing,M,Lacerations to hand,N,Digital
2015,Unprovoked,Surfing,M,Injury to left thigh,N,Digital
2015,Unprovoked,Swimming,M,Laceration to right ankle,N,Digital
2015,Unprovoked,Wading,F,Injury to right ankle/calf & hand,N,Digital
2015,Unprovoked,Fishing,M,"Arms severely injured, surgically amputated",N,Digital
2015,Unprovoked,Spearfishing,M,Minor injury,N,Digital
2015,Unprovoked,Body boarding,M,"Lacerations & puncture wounds to right thigh, calf & ankle",N,Digital
2015,Unprovoked,Surfing,M,"Lacerations to right calf, knee & hip",N,Digital
2015,Unprovoked,Surfing,M,Lacerations to left hand,N,Digital
2015,Unprovoked,Surfing,M,Left foot bitten,N,Digital
2015,Unprovoked,Fishing for shrimp,F,FATAL,Y,Digital
2015,Unprovoked,Swimming,M,Injuries to lower legs,N,Digital
2015,Provoked,Kayak Fishing,M,"No injury, shark rammed kayak repeatedly",N,Digital
2015,Unprovoked,Boogie boarding,F,Laceration to forearm,N,Digital
2015,Unprovoked,Surfing,M,"Left leg severed below the knee, defense injuries to left hand",N,Digital
2015,Unprovoked,Fishing,M,"Arm severely injured, surgically amputated",N,Digital
2015,Unprovoked,Surfing,M,Foot injured,N,Digital
2015,Unprovoked,Body boarding,M,2 lacerations to ankle,N,Digital
2015,Unprovoked,Wading,M,Foot & hands bitten,N,Digital
2015,Unprovoked,Surfing,M,Severe lacerations to left hand,N,Digital
2015,Unprovoked,Surfing,M,"Laceration to heel, puncture wounds to dorsum of foot",N,Digital
2015,Unprovoked,Snorkeling,F,Laceration to leg,N,Digital
2015,Unprovoked,Kayak fishing,M,"No injury, kayak damaged",N,Digital
2015,Unprovoked,Surfing,M,Minor injury to left ankle,N,Digital
2015,Unprovoked,Spearfishing,M,Severe laceration to left leg,N,Digital
2015,Unprovoked,Wading,M,Significant injuries to leg,N,Digital
2015,Unprovoked,Photographing fish,M,Injury to right hand / wrist,N,Digital
2015,Unprovoked,Swimming,M,Lacerations to calf,N,Digital
2015,Unprovoked,Surfing,M,Injury to right foot,N,Digital
2015,Unprovoked,Surfing,M,Minor laceration to hand,N,Digital
2015,Unprovoked,Stand-Up Paddleboarding,F,"No injury, shark struck board, tossing her into the sea",N,Digital
2015,Provoked,Kayak Fishing,M,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,Digital
2015,Unprovoked,Surf-skiing,M,Inuries to lower left leg & ankle,N,Digital
2015,Unprovoked,,M,Right foot bitten,N,Digital
2015,Unprovoked,Wading,F,Left foot & ankle bitten,N,Digital
2015,Unprovoked,Spearfishing,M,Leg bitten,N,Digital
2015,Unprovoked,Surfing,F,"No injury, surfboard bitten",N,Digital
2015,Unprovoked,Surfing,M,"No injury, shark struk sufer's leg and his board",N,Digital
2015,Unprovoked,Surfing,M,Severe laceration to left buttock & thigh,N,Digital
2015,Unprovoked,Surfing,M,"Injuries to left calf, arm and hand",N,Digital
2015,Unprovoked,Walking,F,Lacerations to right leg,N,Digital
2015,Unprovoked,Kayak Fishing,M,"No injury, kayak bitten",N,Digital
2015,Provoked,Spearfishing,M,Right hand bitten  PROVOKED INCIDENT,N,Digital
2015,Unprovoked,Surfing,M,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,Digital
2015,Unprovoked,Surfing,M,Minor injury to sole of foot,N,Digital
2015,Unprovoked,Scallop diving on hookah,M,FATAL,Y,Digital
2015,Provoked,Kayak Fishing,M,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,Digital
2015,Unprovoked,Surfing,M,Left hand bitten,N,Digital
2015,Unprovoked,Surfing,M,Arm bitten,N,Digital
2015,Unprovoked,Surfing,M,No injury,N,Digital
2015,Unprovoked,Surfing,M,"No injury, shark bumped & damaged board",N,Digital
2015,Unprovoked,Spearfishing,F,Lacerations to lower leg & ankle,N,Digital
2015,Unprovoked,,M,Lacerations to right hand & forearm,N,Digital
2015,Unprovoked,Surfing,M,"No injury, shark bit surfboard",N,Digital
2015,Unprovoked,Body boarding ,M,Significant injuries to lower legs,N,Digital
2015,Unprovoked,Swimming,M,"Injuries to torso, hip, lower leg & hands",N,Digital
2015,Unprovoked,Surfing,M,Hand bitten,N,Digital
2015,Unprovoked,Playing in the water,M,Shallow lacerations & puncture to lateral left leg,N,Digital
2015,Unprovoked,Swimming,M,"Injuries to right calf, buttock and both hands",N,Digital
2015,Unprovoked,Body Boarding,M,"Right leg severed, multiple lacerations to left leg",N,Digital
2015,Unprovoked,Surfing,M,Multiple lacerations to torso & leg,N,Digital
2015,Unprovoked,Standing,M,Puncture wounds to foot,N,Digital
2015,Provoked,Swimming,M,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,Digital
2015,Unprovoked,Body surfing?,M,Multiple lacerations to back,N,Digital
2015,Unprovoked,Swimming,M,Minor injury to foot,N,Digital
2015,Unprovoked,Standing,M,Minor injury to calf ,N,Digital
2015,Unprovoked,Spearfishing,M,Injury to hand,N,Digital
2015,Unprovoked,Swimming,M,Minor injury to calf ,N,Digital
2015,Unprovoked,Wading,M,Arm amputated below shoulder,N,Digital
2015,Unprovoked,Wading,F,Left arm amputated at elbow & severe injury to leg,N,Digital
2015,Unprovoked,,F,Severe laceration to leg,N,Digital
2015,Unprovoked,Boogie boarding,F,Minor lacerations to foot,N,Digital
2015,Unprovoked,Playing,M,Lacerations to right calf,N,Digital
2015,Unprovoked,Attempting to rescue a shark,F,Puncture wound to finger,N,Digital
2015,Unprovoked,Surfing,M,Left forearm bitten,N,Digital
2015,Unprovoked,Standing,F,Left foot bitten,N,Digital
2015,Unprovoked,Wading,F,Minor lacerations to dorsum of right foot,N,Digital
2015,Unprovoked,Spearfishing,M,Lacerations to right forearm,N,Digital
2015,Unprovoked,Swimming,F,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,Digital
2015,Unprovoked,Surfing,M,2 puncture wounds to  dorsum of left foot,N,Digital
2015,Unprovoked,,M,Laceration to foot ,N,Digital
2015,Unprovoked,Snorkeling,M,FATAL,Y,Digital
2015,Unprovoked,Swimming,M,"Lacerations to lower left leg, ankle & foot",N,Digital
2015,Unprovoked,Surfing,M,Injuries to left arm & right hand,N,Digital
2015,Unprovoked,Diving,M,"Injuries to leg, left arm & both hands",N,Digital
2015,Unprovoked,Snorkeling,F,FATAL,Y,Digital
2015,Unprovoked,Wading,M,Lacerations to left calf,N,Digital
2015,Unprovoked,Surfing,M,Leg severed at mid-thigh,N,Digital
2015,Unprovoked,Surf skiing ,M,"No injury, knocked off ski",N,Digital
2015,Unprovoked,Photographing the shark,M,Lacerations to shoulder and left bicep,N,Digital
2015,Unprovoked,Paddle boarding,M,Ankle injured,N,Digital
2015,Unprovoked,Surfing,M,FATAL,Y,Digital
2015,Unprovoked,Spearfishing,M,Injuries to head & torso,N,Digital
2015,Provoked,Kayak Fishing,M,No injury but kayak bitten,N,Digital
2015,Unprovoked,Swimming,M,FATAL,Y,Digital
2015,Unprovoked,Standing / Snorkeling,M,Lacerations to left forearm. Lacerations to left hand and thigh,N,Digital
2015,Unprovoked,Hand feeding sharks,M,Hand bitten,N,Digital
2015,Provoked,Fishing,M,Bruised in falling overboard as shark bumped boat,N,Digital
2015,Provoked,Fishing,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,Digital
2015,Unprovoked,Sitting in the water,M,Thigh bitten,N,Digital
2015,Unprovoked,Swimming,F,FATAL,Y,Digital
2015,Unprovoked,Surfing,M,FATAL,Y,Digital
2015,Unprovoked,Surfing,M,Laceration & puncture wounds to right flank & hip,N,Digital
2015,Unprovoked,Bodysurfing,M,5 minor puncture wounds to lower left leg,N,Digital
2015,Provoked,Rowing,M,"No injury, shark's teeth scratched hull",N,Digital
2015,Provoked,Shark fishing,M,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,Digital
2015,Unprovoked,Surfing,M,"No injury, surfboard dented",N,Digital
2015,Provoked,Fishing,M,No injury but shark bit trolling motor & rammed boat,N,Digital
2015,Provoked,Fishing,M,"Shark bumped boat, no injury to occupants",N,Digital
2015,Unprovoked,Filming,M,Bitten on hand & wrist,N,Digital
2015,Unprovoked,Snorkeling,F,Severe bite to right flank,N,Digital
2015,Unprovoked,Surfing,M,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,Digital
2015,Unprovoked,,M,Leg bitten,N,Digital
2014,Unprovoked,Spearfishing,M,FATAL,Y,Digital
2014,Unprovoked,Surfing,M,Injury to hip/leg,N,Digital
2014,Provoked,Fishing,M,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Diving / Filming,M,"No injury, shark snagged its teeth in diver's suit",N,Digital
2014,Unprovoked,Spearfishing,M,FATAL,Y,Digital
2014,Provoked,Fishing for blue sharks,M,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Surfing,M,Minor injuries to right leg,N,Digital
2014,Provoked,Fishing,M,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,Digital
2014,Provoked,Fishing,M,"Shark chasing fish bumped boat, no injury to occupants",N,Digital
2014,Unprovoked,Surfing,M,Laceration to left hand,N,Digital
2014,Unprovoked,Snorkeling,M,Laceration to left upper leg,N,Digital
2014,Unprovoked,Surfing,M,Minor injury to lower leg and foot,N,Digital
2014,Unprovoked,Surfing,M,Minor injuries to hand & arm ,N,Digital
2014,Unprovoked,Surfing,F,Lacerations to fingers,N,Digital
2014,Provoked,Surfing,M,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Stand-Up Paddleboarding,F,"No injury, paddleboard bitten",N,Digital
2014,Unprovoked,Stand-Up Paddleboarding,M,"No injury, paddleboard bitten",N,Digital
2014,Provoked,Canoeing,F,"No injury to occupant, canoe bitten",N,Digital
2014,Unprovoked,Surfing,M,"No injury, surfboard bitten",N,Digital
2014,Unprovoked,Surfing,F,"Lacerations to left calf & ankle, puncture wounds to left foot",N,Digital
2014,Unprovoked,Standing in inner tube,F,Lacerations to left foot,N,Digital
2014,Unprovoked,Body surfing or Boogie boarding,F,Laceration to right hand/wrist,N,Digital
2014,Unprovoked,Fishing,F,Thigh bitten,N,Digital
2014,Provoked,Kayaking,M,"Kayak deflated, no injury to occupants",N,Digital
2014,Unprovoked,Surfing,M,Foot bitten,N,Digital
2014,Unprovoked,Surfing,M,Foot bitten,N,Digital
2014,Provoked,Kayaking,M,"No injury to occupant, shark/s holded  kayak",N,Digital
2014,Provoked,Kayaking ,M,"No injury to occupant, shark/s holded  kayak",N,Digital
2014,Unprovoked,Surfing,M,Lacerations to knee,N,Digital
2014,Unprovoked,Surfing,M,"Left arm & right hand severed, lacerations to both legs",N,Digital
2014,Unprovoked,Surfing,M,Minor injury to left foot,N,Digital
2014,Unprovoked,Feeding fish,F,Thumb & finger nipped,N,Digital
2014,Unprovoked,Swimming,M,FATAL,Y,Digital
2014,Unprovoked,Fishing ,M,Leg bitten,N,Digital
2014,Unprovoked,Kayaking ,F,"No injury, shark bit kayak",N,Digital
2014,Provoked,Fishing,M,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Playing with an air mattress,M,Lacerations to right hand,N,Digital
2014,Unprovoked,Body surfing,F,Injury to left calf,N,Digital
2014,Unprovoked,Surfing,M,Lacerations to shin,N,Digital
2014,Provoked,Fishing,M,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Swimming,F,Minor lacerations to posterior lower leg,N,Digital
2014,Unprovoked,Surfing,M,Laceration to left hand,N,Digital
2014,Unprovoked,Standing,F,Heel bitten,N,Digital
2014,Provoked,Fishing for sharks,M,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Spearfishing,M,Lacerations to face and neck,N,Digital
2014,Unprovoked,Standing,M,Puncture wounds and lacerations to left thigh and knee,N,Digital
2014,Unprovoked,,M,Puncture wounds & lacerations to foot,N,Digital
2014,Unprovoked,Spearfishing,M,Puncture wounds to right foot and ankle,N,Digital
2014,Unprovoked,Swimming,F,Puncture wounds to right foot & ankle,N,Digital
2014,Unprovoked,Swimming,M,Minor lacerations to left heel and big toe,N,Digital
2014,Unprovoked,Boogie boarding,M,Lacerations to right leg & foot,N,Digital
2014,Unprovoked,Swimming,F,Lacerations to  foot,N,Digital
2014,Unprovoked,Surfing,M,Foot bitten,N,Digital
2014,Unprovoked,Boogie boarding,M,Laceration to ankle,N,Digital
2014,Unprovoked,Surfing,M,Lower limbs & thigh bitten,N,Digital
2014,Unprovoked,Swimming,M,Left foot bitten,N,Digital
2014,Unprovoked,Surfing,M,Lacerations to right wrist & calf,N,Digital
2014,Unprovoked,Standing,M,Lacerations to right knee,N,Digital
2014,Unprovoked,Swimming,M,Lacerations to left foot,N,Digital
2014,Unprovoked,Swimming,M,Puncture wounds to foot,N,Digital
2014,Unprovoked,Body surfing,M,Lacerations to hand and wrist,N,Digital
2014,Unprovoked,Surfing,M,Lacerations to foot,N,Digital
2014,Provoked,Swimming,M,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N,Digital
2014,Unprovoked,Surfing,M,"No injury, surboard bitten",N,Digital
2014,Unprovoked,Body surfing,M,Right hand bitten,N,Digital
2014,Provoked,Transatlantic Rowing,M,His boat was holed by a shark,N,Digital
2014,Unprovoked,Spearfishing,M,No injury but shark took his pole spear,N,Digital
2014,Unprovoked,Surfing,M,"No injury, surfboard 'attacked'",N,Digital
2014,Unprovoked,Body boarding,M,Lacerations to knee,N,Digital
2014,Provoked,Petting a shark,M,Lacerations to right hand by captive shark PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Fishing,M,Severe injury to arm,N,Digital
2014,Unprovoked,Standing,M,"Abrasion to right hand, lacerations to left forearm",N,Digital
2014,Unprovoked,Body boarding,M,Minor injury to torso,N,Digital
2014,Unprovoked,Surfing,M,Left arm bitten,N,Digital
2014,Unprovoked,Kneeling in the water,F,Shallow lacerations & puncture wounds below shoulder,N,Digital
2014,Unprovoked,Swimming,F,Laceration to right lower leg,N,Digital
2014,Unprovoked,Surfing,M,Lacerations & puncture wounds to ankle and foot,N,Digital
2014,Unprovoked,Tagging sharks,F,Laceration to left hand,N,Digital
2014,Unprovoked,Fell into the water,F,Lacerations to legs,N,Digital
2014,Unprovoked,Scuba diving,M,Lacerations to left thigh and hip,N,Digital
2014,Provoked,Teasing a shark,M,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N,Digital
2015,Unprovoked,Snorkeling,M,Lacerations to left calf,N,Digital
2014,Unprovoked,Body boarding,F,Calf bitten,N,Digital
2014,Unprovoked,Surfing,M,"No injury, but surfboard severely damaged",N,Digital
2014,Unprovoked,Wading,F,Lacerations and puncture wounds to right foot,N,Digital
2014,Unprovoked,Surfing,M,Puncture wounds to right thigh,N,Digital
2014,Unprovoked,Swimming,F,Lacerations to left foot,N,Digital
2014,Unprovoked,Surfing,M,Laceration to right hand and cuts on fingertips,N,Digital
2014,Unprovoked,Spearfishing,M,Minor injury,N,Digital
2014,Unprovoked,Swimming,M,Laceration & puncture wounds to right foot,N,Digital
2014,Unprovoked,Wading,M,Minor lacerations to left foot,N,Digital
2014,Provoked,Fishing,M,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Surfing,M,Minor puncture wounds to lower left leg,N,Digital
2014,Unprovoked,Surfing,M,Lacerations to foot,N,Digital
2014,Unprovoked,Swimming,F,FATAL,Y,Digital
2014,Unprovoked,Swimming,M,FATAL,Y,Digital
2014,Unprovoked,Kite Surfing,M,Lacerations to left forearm,N,Digital
2014,Unprovoked,Surfing,M,Lacerations to toes and heel of right foot,N,Digital
2014,Unprovoked,Kite Surfing,M,Lacerations to calf,N,Digital
2014,Unprovoked,Surfing,M,Shark leapt onto surfboard; surfer uninjured ,N,Digital
2014,Unprovoked,Swimming,M,Minor lacerations to foot,N,Digital
2014,Unprovoked,Surfing,M,Lacerations to toes,N,Digital
2014,Unprovoked,Kitesurfing,M,Lacerations to lower leg,N,Digital
2014,Provoked,Sailing,M,"No injury to occupants, hull bitten",N,Digital
2014,Unprovoked,Spearfishing / Free diving,M,FATAL,Y,Digital
2014,Provoked,Fishing,M,Possibly a PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Surfing,M,Lacerations to leg,N,Digital
2014,Provoked,Fishing,M,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,N,Digital
2014,Unprovoked,Spearfishing,M,Minor injury to left lower leg & heel,N,Digital
2014,Provoked,Sea disaster,M,5 cm bite to left foot,N,Digital
2013,Unprovoked,Snorkeling,M,Leg bitten,N,Digital
2013,Unprovoked,Surfing,M,Injuries to left thigh,N,Digital
2013,Unprovoked,Attempting to remove fishing net from submerged object,M,Severe injury to arm,N,Digital
2013,Unprovoked,Boogie boarding,M,Lacerations to right hand & knee,N,Digital
2013,Unprovoked,Surfing,M,Right foot bitten,N,Digital
2013,Unprovoked,Surfing,M,"Puncture wounds to hand, laceration to leg",N,Digital
2013,Unprovoked,Kayaking / Fishing,M,FATAL,Y,Digital
2013,Unprovoked,Body boarding,M,FATAL,Y,Digital
2013,Unprovoked,Snorkeling,F,Right calf bitten,N,Digital
2013,Unprovoked,Surfing,M,FATAL,Y,Digital
2013,Unprovoked,Surfing,M,"No injury, board bitten",N,Digital
2013,Unprovoked,Surfing,M,"No injury, board bumped by shark",N,Digital
2013,Provoked,Shark fishing,M,Injuries to arm & leg by hooked shark   PROVOKED INCIDENT,N,Digital
2013,Unprovoked,Body boarding,M,"No injury, swim fin bitten",N,Digital
2013,Unprovoked,Surfing,M,Foot bitten,N,Digital
2013,Unprovoked,Kiteboarding,M,Severe bite to right calf & anklel,N,Digital
2013,Unprovoked,Snorkeling,F,Lacerations to right arm,N,Digital
2013,Unprovoked,Body boarding,M,Right leg severed,N,Digital
2013,Unprovoked,Diving for crayfish,M,"No injury, swim fin shredded",N,Digital
2013,Unprovoked,Surfing,M,Injuries to right foot,N,Digital
2013,Unprovoked,Diving ,M,"3"" laceration to left hip",N,Digital
2013,Unprovoked,Surfing,M,"No injury, shark bit surfboard",N,Digital
2013,Unprovoked,Wading,M,Bitten on left calf & foot,N,Digital
2013,Unprovoked,Swimming / snorkeling,M,FATAL,Y,Digital
2013,Unprovoked,Diving for Abalone,M,"Injuries to torso, head and face",N,Digital
2013,Unprovoked,Surfing,M,Laceration to thigh,N,Digital
2013,Unprovoked,Wading,M,Lacerations to  right forearm,N,Digital
2013,Unprovoked,Surfing,M,Lacerations to hand,N,Digital
2013,Provoked,Diving,M,Hand bitten PROVOKED INCIDENT,N,Digital
2013,Unprovoked,Standing,M,Laceration and puncture wounds to ankle,N,Digital
2013,Unprovoked,Swimming,M,Lacerations to right foot,N,Digital
2013,Unprovoked,Surfing,M,Lacerations to left foream,N,Digital
2013,Unprovoked,Swimming,M,Lacerations to right foot,N,Digital
2013,Unprovoked,Surfing,F,Heel bitten,N,Digital
2013,Provoked,Surfing,M,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,N,Digital
2013,Unprovoked,Standing,M,"Minor injury, shin bitten",N,Digital
2013,Unprovoked,Swimming,M,Shoulder bitten,N,Digital
2013,Provoked,,M,Arm bitten by captive shark PROVOKED INCIDENT,N,Digital
2013,Unprovoked,,M,Leg injured,N,Digital
2013,Unprovoked,Casting a net,M,Lacerations to left calf,N,Digital
2013,Unprovoked,Spearfishing,M,Lower left leg bitten,N,Digital
2013,Unprovoked,Swimming,M,Foot bitten,N,Digital
2013,Provoked,Longline fishing for sharks,M,Laceration to right arm from hooked shark  PROVOKED INCIDENT,N,Digital
2013,Unprovoked,Boogie boarding,F,Minor injury to left lower leg & heel,N,Digital
2013,Unprovoked,Wrangling a shark,M,Lacerations to left forearm,N,Digital
2013,Unprovoked,Surfing,M,Lacerations to buttocks & thigh,N,Digital
2013,Unprovoked,Surfing,F,"No injury, shark bumped surfboard",N,Digital
2013,Unprovoked,Snorkeling,F,FATAL,Y,Digital
